"","Year","Region","Region_alt","Region_type","Strata_included","Strata_excluded","Index","Index_q_0.025","Index_q_0.05","Index_q_0.25","Index_q_0.75","Index_q_0.95","Index_q_0.975","obs_mean","nrts","nnzero","nrts_total","backcast_flag","scale","model","species"
"22",1987,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0496058340824664,0.00866493712450636,0.0111498110509148,0.0283535412040622,0.0872453734621895,0.189647790013274,0.243028013306372,0,0,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"23",1988,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0447137128173482,0.00775001417997959,0.0105252105377639,0.0256697547532571,0.0774308879296808,0.165128252265548,0.212142357124318,0,0,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"24",1989,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.057595314827108,0.0111213370382139,0.0141929548570679,0.033767631704031,0.0972682571930126,0.200629657722479,0.258058167091143,0,2,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"25",1990,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0566281034760141,0.0117189920193842,0.0149439306694628,0.0336470014309132,0.0937241491908509,0.189301541975343,0.234873815498394,0,2,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"26",1991,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0615938435621977,0.012992553764197,0.0167875149930756,0.0366670824428749,0.101101512160061,0.206282251159291,0.257736529484962,0,2,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"27",1992,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0672622329540551,0.0148651496903761,0.0189727189785229,0.0412239836192389,0.10864144425961,0.217377140316822,0.269321206027251,0,0,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"28",1993,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0741761525490698,0.0180021500940365,0.0225380997459079,0.0468995803929265,0.118726768268061,0.224245584370661,0.275568064417024,0,2,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"29",1994,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0706448876757855,0.0170854037830408,0.0219522700048086,0.044261957494898,0.11178200429694,0.216256153067812,0.261588435492752,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"30",1995,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0833098133806699,0.0208079610487334,0.0260023790658237,0.0526211867925222,0.129906483936443,0.248376292746757,0.302399930695154,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"31",1996,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.095688853390429,0.0245936756936678,0.0304799777675204,0.0609741130478339,0.151264817756786,0.282319631362379,0.346206494016832,0,3,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
