"Overall","trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","prob_decline","prob_decline_GT30","prob_decline_GT50","prob_decline_GT70","survey","site_orig"
"Overall",-0.86343089290398,-4.72995302819358,2.61202581385685,-9.1843362323329,-44.0916658493034,36.2633752786478,0.686166666666667,0.119666666666667,0.01275,0.00075,NA,NA
NA,-9.27538773549593,-15.0001237439062,-5.22247218303573,-67.6979826405016,-85.7760727212037,-47.4630910780879,1,0.99975,0.959583333333333,0.408583333333333,0,NA
NA,1.67811096539991,-1.39565218098561,5.1564297348762,21.4394326593595,-15.520218916562,82.8226466702194,0.145166666666667,0.002,0,0,1,NA
NA,-3.92265460353209,-22.1209491652111,16.3174257685339,-41.0803200922505,-95.0220799294995,513.391022368002,0.668666666666667,0.553583333333333,0.446583333333333,0.2885,NA,"45-101"
NA,2.31552794178566,-20.4214729473712,29.4494911834557,20.8367700308648,-93.550132802017,2114.13538624747,0.449166666666667,0.353583333333333,0.271916666666667,0.169333333333333,NA,"45-102"
NA,2.79248668465138,-22.0795586823307,32.4682246982059,24.5895955646766,-94.9902405897894,2819.71597633758,0.442916666666667,0.36025,0.285916666666667,0.189166666666667,NA,"45-120"
NA,3.45442850553573,-18.9714870169494,29.7601534926361,38.5509083364858,-91.989590735474,2178.74756910392,0.407083333333333,0.3155,0.23975,0.14825,NA,"45-201"
NA,-2.28450993570738,-23.5601244225933,22.8249494598968,-30.5132892805292,-96.0203974497292,1078.79730707485,0.60075,0.502166666666667,0.409083333333333,0.283833333333333,NA,"45-212"
NA,6.92613626272493,-17.146842429267,37.0029187079254,95.6136826610151,-89.5357340023003,4272.78211442618,0.33325,0.249416666666667,0.182416666666667,0.106583333333333,NA,"45-24"
NA,-12.6894835339359,-35.105626322685,13.3502968573865,-81.8325839563033,-99.4421922507967,349.854468506668,0.848583333333333,0.790583333333333,0.728916666666667,0.615666666666667,NA,"45-26"
NA,-6.61519274583315,-34.8252525618939,27.7634384534506,-61.5990890504297,-99.4125751876586,1791.8169405169,0.6855,0.61775,0.554583333333333,0.451083333333333,NA,"45-303"
NA,2.68594143408461,-19.2388324955236,28.4395168917255,27.7022056142564,-92.3010555635477,1915.50537476041,0.428,0.335666666666667,0.25175,0.154666666666667,NA,"45-402"
NA,5.86234204793631,-11.4824554270533,25.7072565612332,88.2733280204398,-76.8605863402153,1457.12752677935,0.2725,0.172666666666667,0.10475,0.0414166666666667,NA,"45-42"
NA,2.77078744358546,-20.6684965488756,31.9222793989801,24.822652036638,-93.7863284436456,2678.54728405949,0.44125,0.357166666666667,0.278083333333333,0.172666666666667,NA,"45-43"
NA,-10.1914880097737,-32.4446641794775,15.0930761918853,-74.1899522584257,-99.0965253579232,440.244527145223,0.808333333333333,0.736666666666667,0.662416666666667,0.535583333333333,NA,"45-49"
NA,2.74138382543673,-21.123915362313,31.5445894189355,25.6207935348044,-94.2011189740734,2584.57707538566,0.446083333333333,0.356,0.277666666666667,0.1795,NA,"45-614"
NA,0.768674755654399,-19.9395248356199,25.2963903215145,1.65892094865597,-93.0654548651792,1397.14109004557,0.495833333333333,0.3905,0.301166666666667,0.180916666666667,NA,"49-1"
NA,11.2630134093873,-18.5657519215299,48.1830047305882,217.692681374474,-91.494789045947,11109.3585722753,0.270666666666667,0.208,0.159666666666667,0.100416666666667,NA,"49-116"
NA,-16.7430573146139,-35.0643312518361,4.51246710620199,-89.6040775236741,-99.4379178279394,69.8311038288612,0.943416666666667,0.910333333333333,0.865083333333333,0.769166666666667,NA,"49-128"
NA,-17.9839647236528,-37.7169808759,4.42514705061772,-91.3912720127806,-99.6592499875049,68.1361683836934,0.9455,0.914083333333333,0.873666666666667,0.78875,NA,"49-131"
NA,-2.37206227970027,-19.3574849001584,17.2474598446213,-28.0309380589544,-92.4356992230327,574.902947114722,0.617833333333333,0.491083333333333,0.3765,0.22475,NA,"49-17"
NA,-10.8797444747812,-32.7183560324675,14.6430161584935,-77.2908462533355,-99.1394836332058,415.431854438457,0.816583333333333,0.757666666666667,0.685833333333333,0.56875,NA,"49-18"
NA,-10.432770286807,-30.0656178609142,12.5027233635016,-75.2369685580462,-98.6313609758217,311.108473230385,0.833,0.764083333333333,0.682083333333333,0.551666666666667,NA,"49-230"
NA,-6.37990504704828,-30.7107186324482,23.0928129320452,-58.9388229600683,-98.7754043128723,1110.0195195497,0.702583333333333,0.6285,0.550333333333333,0.426416666666667,NA,"49-3"
NA,-14.9374283417452,-42.3137877743175,18.4486264508615,-87.7101700943583,-99.8642108079241,662.711643152294,0.83925,0.7905,0.741083333333333,0.659833333333333,NA,"49-38"
NA,-12.5330618193794,-37.4366225136889,18.7285751329166,-82.9296127886619,-99.6403813271725,684.626697274073,0.819916666666667,0.762833333333333,0.708333333333333,0.610833333333333,NA,"49-47"
NA,-17.316167613326,-39.2761151649784,7.98998792726684,-90.7858802721458,-99.7486293438061,151.537020294031,0.921083333333333,0.883416666666667,0.83775,0.751416666666667,NA,"49-50"
NA,-2.13034613323701,-24.6049707986358,25.5997179656064,-31.6072865677371,-96.6262525268406,1441.21805353912,0.596,0.505666666666667,0.415916666666667,0.295166666666667,NA,"49-59"
NA,-1.55521928602987,-21.6762582804989,22.0504263974818,-23.9764593165934,-94.6700746028506,992.627130835962,0.576083333333333,0.47575,0.378916666666667,0.241916666666667,NA,"49-8"
NA,9.06186176527807,-13.2647658109817,35.9377220920905,159.095503471473,-81.8721324802807,3881.80457369126,0.245166666666667,0.168166666666667,0.115333333333333,0.0565833333333333,NA,"49-9"
